Site,FID_Fishnet,mangrove_area,nonmangrove_area,total_area,gridcode
lap_2018-07_site01,7577,0,30.0386793,30.0386793,0
lap_2018-07_site01,7578,60.70049393,65.0899851,125.790479,0
lap_2018-07_site01,7579,41.45429948,166.1849558,207.6392553,0
lap_2018-07_site01,7580,0,278.5688123,278.5688123,0
lap_2018-07_site01,7581,0,360.2572116,360.2572116,1
lap_2018-07_site01,7582,23.70558392,405.8466562,429.5522402,100
lap_2018-07_site01,7583,4.539991,374.3538671,378.8938581,1
lap_2018-07_site01,15729,0,26.16554549,26.16554549,0
lap_2018-07_site01,15730,0,102.2118729,102.2118729,0
lap_2018-07_site01,15731,0,179.4670995,179.4670995,0
lap_2018-07_site01,15732,0,256.7234167,256.7234167,0
lap_2018-07_site01,15733,0,324.6768362,324.6768362,0
lap_2018-07_site01,15734,0,365.2233734,365.2233734,0
lap_2018-07_site01,15735,0,434.5672423,434.5672423,0
lap_2018-07_site01,15736,0,510.695554,510.695554,0
lap_2018-07_site01,15737,0,555.3968174,555.3968174,0
lap_2018-07_site01,15738,7.8980426,547.9164132,555.8144558,0
lap_2018-07_site01,15739,0,555.8098148,555.8098148,1
lap_2018-07_site01,15740,0,555.8105059,555.8105059,2
lap_2018-07_site01,15741,0,555.8090983,555.8090983,3
lap_2018-07_site01,15742,0,555.8097894,555.8097894,2
lap_2018-07_site01,15743,0,544.4028828,544.4028828,1
lap_2018-07_site01,15744,0,13.4693843,13.4693843,0
lap_2018-07_site01,23889,0,421.4124997,421.4124997,0
lap_2018-07_site01,23890,0,555.8096331,555.8096331,0
lap_2018-07_site01,23891,0,555.8089165,555.8089165,0
lap_2018-07_site01,23892,0,555.8089165,555.8089165,0
lap_2018-07_site01,23893,0,555.8099879,555.8099879,0
lap_2018-07_site01,23894,0,555.8101764,555.8101764,0
lap_2018-07_site01,23895,0,555.8098403,555.8098403,0
lap_2018-07_site01,23896,0,555.8071473,555.8071473,0
lap_2018-07_site01,23897,0,555.8092459,555.8092459,0
lap_2018-07_site01,23898,0,555.8112223,555.8112223,1
lap_2018-07_site01,23899,0,555.8105978,555.8105978,3
lap_2018-07_site01,23900,0,555.812194,555.812194,104
lap_2018-07_site01,23901,0,555.8111668,555.8111668,103
lap_2018-07_site01,23902,0,555.8105724,555.8105724,2
lap_2018-07_site01,23903,0,555.8107388,555.8107388,0
lap_2018-07_site01,23904,0,93.54165056,93.54165056,0
lap_2018-07_site01,32045,0,3.84920544,3.84920544,0
lap_2018-07_site01,32046,0,321.0841508,321.0841508,0
lap_2018-07_site01,32047,0,405.6213413,405.6213413,0
lap_2018-07_site01,32048,0,477.4734963,477.4734963,0
lap_2018-07_site01,32049,0,541.9968937,541.9968937,0
lap_2018-07_site01,32050,0,555.8071541,555.8071541,0
lap_2018-07_site01,32051,0,555.8078451,555.8078451,0
lap_2018-07_site01,32052,0,555.8075089,555.8075089,0
