ID,Area_total,Area_overlap,Area_CONABIO,Area_GMW_calculated,Area_not_overlapped,Percent_overlap,Area_JCONABIO,Area_JGMW,Difference_JArea,%conabio_total,%GMW_total
3,0.611669284,0,0,0.611669284,0.611669284,0,0,0.611669284,-0.611669284,0,1
8,1.39007191,0,0,1.39007191,1.39007191,0,0,1.39007191,-1.39007191,0,1
15,0.889523225,0,0,0.889523225,0.889523225,0,0,0.889523225,-0.889523225,0,1
18,0.778241929,0,0,0.778241929,0.778241929,0,0,0.778241929,-0.778241929,0,1
19,0.222372978,0,0,0.222372978,0.222372978,0,0,0.222372978,-0.222372978,0,1
25,1.445276392,0,0,1.445276392,1.445276392,0,0,1.445276392,-1.445276392,0,1
26,0.333509525,0,0,0.333509525,0.333509525,0,0,0.333509525,-0.333509525,0,1
27,1.133586386,0,0,1.133586386,1.133586386,0,0,1.133586386,-1.133586386,0,1
28,0.893088656,0,0,0.893088656,0.893088656,0,0,0.893088656,-0.893088656,0,1
34,0.111768719,0,0,0.111768719,0.111768719,0,0,0.111768719,-0.111768719,0,1
39,0.068294892,0,0,0.068294892,0.068294892,0,0,0.068294892,-0.068294892,0,1
42,5.029910331,0,0,5.029910331,5.029910331,0,0,5.029910331,-5.029910331,0,1
43,2.333590404,0,0,2.333590404,2.333590404,0,0,2.333590404,-2.333590404,0,1
46,0.57263226,0,0,0.57263226,0.57263226,0,0,0.57263226,-0.57263226,0,1
48,0.288534781,0,0,0.288534781,0.288534781,0,0,0.288534781,-0.288534781,0,1
49,0.104536839,0,0,0.104536839,0.104536839,0,0,0.104536839,-0.104536839,0,1
55,2.0241957,0,0,2.0241957,2.0241957,0,0,2.0241957,-2.0241957,0,1
64,0.275207184,0,0,0.275207184,0.275207184,0,0,0.275207184,-0.275207184,0,1
96,0.37328599,0,0,0.37328599,0.37328599,0,0,0.37328599,-0.37328599,0,1
117,5.734743328,0,0,5.734743328,5.734743328,0,0,5.734743328,-5.734743328,0,1
171,0.332848783,0,0,0.332848783,0.332848783,0,0,0.332848783,-0.332848783,0,1
178,1.220389024,0,0,1.220389024,1.220389024,0,0,1.220389024,-1.220389024,0,1
183,0.831942707,0,0,0.831942707,0.831942707,0,0,0.831942707,-0.831942707,0,1
185,0.274570328,0,0,0.274570328,0.274570328,0,0,0.274570328,-0.274570328,0,1
190,0.058269796,0,0,0.058269796,0.058269796,0,0,0.058269796,-0.058269796,0,1
192,0.751084176,0,0,0.751084176,0.751084176,0,0,0.751084176,-0.751084176,0,1
223,0.3325917,0,0,0.3325917,0.3325917,0,0,0.3325917,-0.3325917,0,1
228,2.090321753,0,0,2.090321753,2.090321753,0,0,2.090321753,-2.090321753,0,1
249,0.047003974,0,0,0.047003974,0.047003974,0,0,0.047003974,-0.047003974,0,1
255,0.443309215,0,0,0.443309215,0.443309215,0,0,0.443309215,-0.443309215,0,1
264,1.428584568,0,0,1.428584568,1.428584568,0,0,1.428584568,-1.428584568,0,1
265,0.33246751,0,0,0.33246751,0.33246751,0,0,0.33246751,-0.33246751,0,1
277,0.356727282,0,0,0.356727282,0.356727282,0,0,0.356727282,-0.356727282,0,1
287,0.428033777,0,0,0.428033777,0.428033777,0,0,0.428033777,-0.428033777,0,1
290,0.029799022,0,0,0.029799022,0.029799022,0,0,0.029799022,-0.029799022,0,1
293,0.619307897,0,0,0.619307897,0.619307897,0,0,0.619307897,-0.619307897,0,1
307,2.100035644,0,0,2.100035644,2.100035644,0,0,2.100035644,-2.100035644,0,1
312,0.856078165,0,0,0.856078165,0.856078165,0,0,0.856078165,-0.856078165,0,1
315,0.607847021,0,0,0.607847021,0.607847021,0,0,0.607847021,-0.607847021,0,1
317,1.106745662,0,0,1.106745662,1.106745662,0,0,1.106745662,-1.106745662,0,1
320,0.059545804,0,0,0.059545804,0.059545804,0,0,0.059545804,-0.059545804,0,1
321,0.035870737,0,0,0.035870737,0.035870737,0,0,0.035870737,-0.035870737,0,1
322,3.169073159,0,0,3.169073159,3.169073159,0,0,3.169073159,-3.169073159,0,1
330,1.77504483,0,0,1.77504483,1.77504483,0,0,1.77504483,-1.77504483,0,1
364,0.88515335,0,0,0.88515335,0.88515335,0,0,0.88515335,-0.88515335,0,1
365,1.383067373,0,0,1.383067373,1.383067373,0,0,1.383067373,-1.383067373,0,1
376,0.442547305,0,0,0.442547305,0.442547305,0,0,0.442547305,-0.442547305,0,1
385,0.010457975,0,0,0.010457975,0.010457975,0,0,0.010457975,-0.010457975,0,1
389,0.387221464,0,0,0.387221464,0.387221464,0,0,0.387221464,-0.387221464,0,1
404,0.121315494,0,0,0.121315494,0.121315494,0,0,0.121315494,-0.121315494,0,1
412,0.888183819,0,0,0.888183819,0.888183819,0,0,0.888183819,-0.888183819,0,1
426,0.110754745,0,0,0.110754745,0.110754745,0,0,0.110754745,-0.110754745,0,1
444,2.098522695,0,0,2.098522695,2.098522695,0,0,2.098522695,-2.098522695,0,1
461,0.774034315,0,0,0.774034315,0.774034315,0,0,0.774034315,-0.774034315,0,1
468,1.216829301,0,0,1.216829301,1.216829301,0,0,1.216829301,-1.216829301,0,1
481,0.112658773,0,0,0.112658773,0.112658773,0,0,0.112658773,-0.112658773,0,1
508,0.020204169,0,0,0.020204169,0.020204169,0,0,0.020204169,-0.020204169,0,1
580,2.972020844,0,0,2.972020844,2.972020844,0,0,2.972020844,-2.972020844,0,1
650,0.000946776,0,0,0.000946776,0.000946776,0,0,0.000946776,-0.000946776,0,1
670,0.038345389,0,0,0.038345389,0.038345389,0,0,0.038345389,-0.038345389,0,1
677,1.949588935,0,0,1.949588935,1.949588935,0,0,1.949588935,-1.949588935,0,1
682,0.01034314,0,0,0.01034314,0.01034314,0,0,0.01034314,-0.01034314,0,1
714,0.497116227,0,0,0.497116227,0.497116227,0,0,0.497116227,-0.497116227,0,1
734,0.484895688,0,0,0.484895688,0.484895688,0,0,0.484895688,-0.484895688,0,1
754,0.016417537,0,0,0.016417537,0.016417537,0,0,0.016417537,-0.016417537,0,1
756,0.023881204,0,0,0.023881204,0.023881204,0,0,0.023881204,-0.023881204,0,1
758,1.081423785,0,0,1.081423785,1.081423785,0,0,1.081423785,-1.081423785,0,1
763,0.013192006,0,0,0.013192006,0.013192006,0,0,0.013192006,-0.013192006,0,1
795,0.025279146,0,0,0.025279146,0.025279146,0,0,0.025279146,-0.025279146,0,1
806,0.77261277,0,0,0.77261277,0.77261277,0,0,0.77261277,-0.77261277,0,1
817,0.386266141,0,0,0.386266141,0.386266141,0,0,0.386266141,-0.386266141,0,1
826,1.602537086,0,0,1.602537086,1.602537086,0,0,1.602537086,-1.602537086,0,1
831,0.052574398,0,0,0.052574398,0.052574398,0,0,0.052574398,-0.052574398,0,1
838,0.529641526,0,0,0.529641526,0.529641526,0,0,0.529641526,-0.529641526,0,1
844,0.069198757,0,0,0.069198757,0.069198757,0,0,0.069198757,-0.069198757,0,1
854,1.191789221,0,0,1.191789221,1.191789221,0,0,1.191789221,-1.191789221,0,1
860,0.059068655,0,0,0.059068655,0.059068655,0,0,0.059068655,-0.059068655,0,1
861,0.606496817,0,0,0.606496817,0.606496817,0,0,0.606496817,-0.606496817,0,1
993,0.707837894,0,0,0.707837894,0.707837894,0,0,0.707837894,-0.707837894,0,1
994,2.184373569,0,0,2.184373569,2.184373569,0,0,2.184373569,-2.184373569,0,1
999,1.010652835,0,0,1.010652835,1.010652835,0,0,1.010652835,-1.010652835,0,1
1000,0.220102822,0,0,0.220102822,0.220102822,0,0,0.220102822,-0.220102822,0,1
1010,0.501943368,0,0,0.501943368,0.501943368,0,0,0.501943368,-0.501943368,0,1
1021,0.466646811,0,0,0.466646811,0.466646811,0,0,0.466646811,-0.466646811,0,1
1027,0.022286158,0,0,0.022286158,0.022286158,0,0,0.022286158,-0.022286158,0,1
1029,1.804442258,0,0,1.804442258,1.804442258,0,0,1.804442258,-1.804442258,0,1
1033,0.105513029,0,0,0.105513029,0.105513029,0,0,0.105513029,-0.105513029,0,1
1034,1.210459308,0,0,1.210459308,1.210459308,0,0,1.210459308,-1.210459308,0,1
