UID,SITE,FID_fishnet_lap_201807_site04,TotalFishnetArea_1,Area_ha_drone,Area_ha_CONABIO,Area_ha_GMW,Area_ha_dCONABIO,Area_ha_dGMW,Area_ha_union_dCONABIO,Area_ha_union_dGMW
1,lap_201807_site04,4.000,0.819,0.112,0.299,0.299,0.105,0.105,0.306312397,0.306312397
2,lap_201807_site04,5.000,0.600,0.060,0.181,0.181,0.060,0.060,0.181049276,0.181049276
3,lap_201807_site04,9.000,1.000,0.042,0.100,0.100,0.028,0.028,0.114088182,0.114088182
4,lap_201807_site04,10.000,1.000,0.208,0.531,0.576,0.207,0.207,0.532345426,0.577351355
5,lap_201807_site04,11.000,0.741,0.070,0.189,0.190,0.064,0.064,0.195239742,0.195978237
6,lap_201807_site04,14.000,1.000,0.145,0.340,0.355,0.111,0.111,0.374134339,0.388795653
7,lap_201807_site04,15.000,1.000,0.459,0.857,0.898,0.453,0.454,0.862612939,0.903375043
8,lap_201807_site04,16.000,1.000,0.531,0.815,0.853,0.453,0.531,0.816055428,0.852947684
9,lap_201807_site04,17.000,0.581,0.000,0.005,0.005,0.000,0.000,0.004736869,0.004781205
10,lap_201807_site04,20.000,0.949,0.209,0.020,0.199,0.016,0.151,0.212705424,0.256648841
11,lap_201807_site04,21.000,1.000,0.275,0.355,0.499,0.186,0.254,0.443707684,0.520019968
12,lap_201807_site04,22.000,1.000,0.177,0.216,0.328,0.153,0.168,0.240876391,0.336706504
13,lap_201807_site04,7.000,0.329,0.010,0.000,0.000,0.000,0.000,0.009734785,0.009734785
14,lap_201807_site04,13.000,0.582,0.060,0.000,0.000,0.000,0.000,0.060417829,0.060417829
15,lap_201807_site06,1.000,0.234,0.006,0.007,0.007,0.001,0.001,0.011,0.01139526
16,lap_201807_site06,2.000,0.722,0.348,0.438,0.554,0.317,0.343,0.469,0.557958281
17,lap_201807_site06,3.000,0.878,0.256,0.424,0.463,0.256,0.256,0.424,0.463464863
18,lap_201807_site06,6.000,0.896,0.031,0.000,0.000,0.000,0.000,0.031,0.030933885
19,lap_201807_site06,7.000,1.000,0.497,0.566,0.612,0.465,0.477,0.599,0.632024893
20,lap_201807_site06,8.000,1.000,0.765,0.984,0.991,0.763,0.765,0.986,0.990651593
21,lap_201807_site06,9.000,1.000,0.151,0.289,0.366,0.137,0.148,0.303,0.36859916
22,lap_201807_site06,13.000,1.000,0.723,0.836,0.939,0.722,0.723,0.838,0.938745669
23,lap_201807_site06,14.000,1.000,0.092,0.109,0.380,0.044,0.078,0.156,0.393756414
24,lap_201807_site06,17.000,0.884,0.000,0.054,0.054,0.000,0.000,0.054,0.054190328
25,lap_201807_site06,18.000,1.000,0.363,0.787,0.860,0.361,0.361,0.790,0.861933174
26,lap_201807_site06,19.000,0.906,0.218,0.305,0.474,0.163,0.187,0.361,0.505085632
27,lap_201807_site06,22.000,0.249,0.061,0.063,0.108,0.041,0.061,0.083,0.108448611
28,lap_201807_site06,23.000,0.426,0.090,0.154,0.246,0.079,0.090,0.165,0.246205817
29,lap_201807_site06,24.000,0.091,0.035,0.047,0.047,0.020,0.020,0.061,0.061255951
30,lap_201807_site06,12.000,1.000,0.000,0.000,0.030,0.000,0.000,0.000,0.029510876
31,psc_201805_site01,3.000,0.924,0.027,0.092,0.333,0.020,0.021,0.098955868,0.339474364
32,psc_201805_site01,4.000,0.744,0.000,0.005,0.048,0.000,0.000,0.005155784,0.047834982
